"year","age","male","prop_remitted","educ","prop_cmig","log_npop","prop_self","prop_agri","prop_lessminwage"
1984,23,1,0.435234018,9,0.018125,9.21034,0.3403519,0.3503593,0.138887
1986,27,1,0.407102832,9,0.02625,9.21034,0.3403519,0.3503593,0.1390484
1987,19,1,0.373059014,9,0.03375,9.21034,0.3403519,0.3503593,0.1367292
1990,30,1,0.379492005,6,0.065625,8.294049,0.2908615,0.2558278,0.1318839
1988,25,1,0.413665821,6,0.039375,9.21034,0.3403519,0.3503593,0.1352272
1989,23,1,0.360817559,6,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1996,27,1,0.419490147,9,0.1075,8.294049,0.2908615,0.2558278,0.1301652
1987,26,1,0.374651294,6,0.03375,9.21034,0.3403519,0.3503593,0.1367292
1987,24,1,0.348912434,5,0.03375,9.21034,0.3403519,0.3503593,0.1367292
1984,21,1,0.413617663,10,0.018125,9.21034,0.3403519,0.3503593,0.138887
1988,20,1,0.412092134,13,0.039375,9.21034,0.3403519,0.3503593,0.1352272
1986,15,1,0.368062216,9,0.02625,9.21034,0.3403519,0.3503593,0.1390484
1994,21,1,0.353368282,4,0.089375,8.294049,0.2908615,0.2558278,0.1302538
1997,18,1,0.395900893,5,0.113125,8.294049,0.2908615,0.2558278,0.1318591
1989,21,1,0.3666025,6,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1989,17,1,0.427769028,3,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1994,17,1,0.38522766,9,0.089375,8.294049,0.2908615,0.2558278,0.1302538
1988,20,1,0.390198483,12,0.039375,9.21034,0.3403519,0.3503593,0.1352272
1989,19,0,0.455879471,12,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1984,16,1,0.448338993,9,0.018125,9.21034,0.3403519,0.3503593,0.138887
1985,16,1,0.385899902,9,0.02375,9.21034,0.3403519,0.3503593,0.137792
1989,44,1,0.38016586,5,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1993,48,0,0.443781692,6,0.083125,8.294049,0.2908615,0.2558278,0.1302523
1994,23,1,0.329886465,9,0.089375,8.294049,0.2908615,0.2558278,0.1302538
1995,17,1,0.35341498,9,0.1,8.294049,0.2908615,0.2558278,0.129828
1986,21,0,0.465758557,9,0.02625,9.21034,0.3403519,0.3503593,0.1390484
1988,15,1,0.380593187,9,0.039375,9.21034,0.3403519,0.3503593,0.1352272
1991,20,1,0.350539752,9,0.07375,8.294049,0.2908615,0.2558278,0.1311097
1982,28,1,0.475825161,10,0.011875,9.21034,0.3403519,0.3503593,0.13776
1989,20,0,0.433140339,12,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1990,20,0,0.422227447,9,0.065625,8.294049,0.2908615,0.2558278,0.1318839
1994,21,0,0.34149682,12,0.089375,8.294049,0.2908615,0.2558278,0.1302538
1977,30,0,0.487972308,2,0.005625,8.006368,0.1288541,0.4448909,0.1494673
1989,20,0,0.464075825,6,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1993,34,1,0.400055579,8,0.083125,8.294049,0.2908615,0.2558278,0.1302523
1993,38,1,0.362325288,9,0.083125,8.294049,0.2908615,0.2558278,0.1302523
1994,27,1,0.439330414,9,0.089375,8.294049,0.2908615,0.2558278,0.1302538
1994,45,0,0.413167211,15,0.089375,8.294049,0.2908615,0.2558278,0.1302538
1995,32,1,0.418556168,9,0.1,8.294049,0.2908615,0.2558278,0.129828
1996,51,1,0.270092719,9,0.1075,8.294049,0.2908615,0.2558278,0.1301652
1997,38,1,0.341233304,6,0.113125,8.294049,0.2908615,0.2558278,0.1318591
1973,15,1,0.521330264,6,0.00375,8.006368,0.1288541,0.4448909,0.1562987
1986,25,1,0.395933316,6,0.02625,9.21034,0.3403519,0.3503593,0.1390484
1989,18,1,0.429382962,9,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1993,52,1,0.332166187,4,0.083125,8.294049,0.2908615,0.2558278,0.1302523
1979,25,1,0.514814968,1,0.0075,8.006368,0.1288541,0.4448909,0.1456347
1992,18,1,0.392885418,9,0.0775,8.294049,0.2908615,0.2558278,0.1307149
1996,19,1,0.29821141,9,0.1075,8.294049,0.2908615,0.2558278,0.1301652
1979,19,1,0.513596464,9,0.0075,8.006368,0.1288541,0.4448909,0.1456347
1980,20,0,0.442997202,3,0.009375,9.21034,0.3403519,0.3503593,0.1373002
1984,23,1,0.41168471,5,0.018125,9.21034,0.3403519,0.3503593,0.138887
1995,23,0,0.27822057,9,0.1,8.294049,0.2908615,0.2558278,0.129828
1988,21,1,0.473343721,9,0.039375,9.21034,0.3403519,0.3503593,0.1352272
1983,21,1,0.408404798,6,0.015,9.21034,0.3403519,0.3503593,0.1393506
1984,18,1,0.366713531,6,0.018125,9.21034,0.3403519,0.3503593,0.138887
1989,18,0,0.459033051,6,0.04625,9.21034,0.3403519,0.3503593,0.1340105
1997,19,1,0.430475928,4,0.113125,8.294049,0.2908615,0.2558278,0.1318591
1992,20,1,0.382060294,6,0.0775,8.294049,0.2908615,0.2558278,0.1307149
